layer,expert,count
0,0,74
0,1,249
0,3,72
0,5,18
0,6,62
0,7,7
0,8,7
0,11,50
0,13,41
0,14,2
0,15,5
0,16,10
0,17,30
0,18,1
0,19,2
0,20,6
0,21,8
0,22,163
0,23,583
0,24,9
0,25,48
0,26,38
0,27,1
0,28,1
0,30,15
0,31,35
0,32,49
0,33,32
0,34,5
0,38,1
0,39,10
0,41,25
0,43,8
0,44,346
0,45,69
0,46,137
0,48,184
0,49,195
0,50,6
0,51,26
0,52,18
0,53,31
0,54,63
0,55,67
0,56,3
0,58,22
0,60,94
0,64,110
0,68,10
0,69,12
0,73,45
0,74,46
0,76,83
0,78,13
0,79,10
0,81,2
0,83,7
0,84,111
0,86,72
0,87,3
0,89,8
0,90,3
0,91,22
0,92,9
0,95,47
0,96,12
0,99,36
0,100,72
0,102,263
0,103,2
0,104,14
0,105,32
0,106,45
0,107,51
0,108,44
0,111,88
0,112,43
0,114,2
0,116,95
0,120,238
0,121,39
0,122,17
0,123,354
0,124,37
0,126,18
0,127,5
1,0,102
1,2,72
1,5,22
1,6,70
1,7,29
1,8,94
1,9,33
1,10,22
1,11,149
1,12,9
1,13,129
1,15,3
1,16,12
1,18,25
1,20,118
1,21,385
1,22,36
1,24,50
1,25,50
1,26,71
1,27,104
1,28,17
1,29,6
1,30,5
1,31,76
1,32,4
1,33,42
1,34,17
1,35,16
1,36,144
1,37,28
1,38,81
1,39,31
1,40,28
1,41,88
1,42,4
1,45,8
1,46,35
1,47,25
1,50,60
1,51,11
1,52,74
1,53,123
1,54,1
1,55,85
1,56,14
1,59,24
1,60,11
1,61,1
1,64,51
1,65,41
1,66,14
1,67,16
1,68,490
1,69,35
1,70,62
1,71,53
1,72,80
1,73,49
1,74,142
1,76,59
1,77,29
1,78,28
1,79,113
1,80,20
1,81,30
1,82,18
1,83,14
1,84,16
1,85,8
1,86,18
1,87,18
1,89,94
1,90,30
1,93,30
1,94,117
1,96,17
1,97,1
1,98,10
1,99,4
1,100,10
1,102,102
1,103,17
1,104,4
1,105,8
1,106,21
1,107,22
1,108,2
1,109,17
1,110,3
1,111,3
1,112,4
1,113,8
1,114,2
1,115,170
1,116,4
1,117,14
1,118,27
1,119,10
1,120,88
1,122,3
1,123,10
1,124,6
1,125,101
1,127,41
2,0,14
2,1,80
2,2,13
2,3,16
2,5,2
2,6,132
2,8,251
2,10,4
2,11,1
2,12,1
2,14,153
2,15,190
2,16,30
2,17,41
2,18,25
2,19,43
2,21,1
2,24,110
2,25,202
2,26,15
2,28,36
2,29,45
2,31,41
2,32,7
2,33,5
2,34,38
2,36,60
2,37,41
2,38,52
2,39,76
2,40,23
2,41,57
2,42,16
2,44,47
2,45,8
2,46,8
2,47,2
2,48,14
2,49,4
2,50,29
2,52,430
2,53,508
2,54,163
2,55,13
2,56,1
2,57,13
2,58,5
2,59,40
2,60,77
2,61,19
2,62,33
2,63,47
2,64,148
2,65,7
2,66,12
2,68,25
2,69,21
2,70,1
2,71,18
2,72,16
2,73,13
2,75,22
2,76,59
2,77,10
2,78,127
2,79,2
2,83,100
2,84,3
2,85,33
2,86,87
2,87,4
2,88,6
2,90,2
2,91,1
2,93,24
2,96,8
2,97,12
2,98,38
2,99,2
2,100,20
2,102,25
2,103,93
2,104,14
2,105,1
2,107,33
2,108,3
2,109,48
2,110,25
2,111,27
2,112,43
2,114,2
2,115,14
2,116,126
2,117,58
2,118,83
2,119,13
2,120,11
2,121,269
2,122,7
2,126,18
2,127,32
3,0,92
3,1,16
3,2,2
3,3,8
3,4,4
3,5,73
3,8,51
3,10,144
3,11,114
3,13,20
3,14,52
3,15,187
3,16,32
3,17,161
3,18,66
3,20,4
3,21,18
3,23,36
3,24,39
3,25,142
3,26,19
3,28,92
3,29,4
3,30,50
3,31,4
3,32,1
3,33,2
3,34,4
3,35,84
3,36,31
3,39,168
3,40,25
3,42,22
3,43,4
3,45,41
3,46,2
3,47,10
3,49,146
3,50,113
3,51,36
3,52,17
3,53,6
3,54,20
3,57,61
3,60,32
3,61,14
3,62,22
3,64,102
3,65,58
3,66,114
3,69,4
3,70,14
3,71,2
3,72,31
3,73,1
3,74,3
3,75,13
3,76,161
3,81,12
3,82,428
3,83,238
3,84,4
3,86,1
3,88,32
3,89,160
3,91,27
3,92,83
3,93,13
3,94,11
3,95,2
3,96,61
3,97,34
3,98,10
3,99,197
3,100,2
3,101,6
3,102,21
3,103,2
3,104,139
3,105,145
3,106,16
3,108,28
3,109,14
3,110,12
3,111,2
3,112,19
3,113,4
3,114,2
3,116,10
3,117,1
3,118,10
3,120,223
3,121,13
3,123,35
3,125,46
3,126,144
3,127,47
4,0,4
4,1,318
4,2,2
4,3,4
4,5,170
4,7,8
4,8,107
4,9,41
4,10,4
4,12,2
4,14,12
4,18,1
4,19,16
4,22,67
4,23,366
4,26,231
4,27,326
4,29,16
4,30,19
4,32,2
4,33,18
4,34,16
4,35,4
4,36,89
4,39,47
4,43,161
4,45,69
4,46,4
4,47,320
4,49,2
4,51,94
4,52,51
4,53,1
4,54,122
4,55,360
4,56,1
4,58,2
4,59,20
4,61,4
4,62,22
4,63,55
4,64,8
4,65,1
4,66,23
4,68,15
4,69,2
4,70,2
4,72,10
4,74,298
4,75,6
4,76,15
4,77,22
4,79,74
4,80,12
4,81,2
4,82,1
4,84,4
4,85,4
4,87,10
4,88,32
4,89,26
4,90,50
4,93,3
4,97,132
4,98,95
4,99,5
4,100,2
4,102,1
4,104,3
4,105,46
4,107,63
4,108,227
4,109,8
4,110,2
4,112,2
4,113,20
4,114,173
4,116,12
4,117,27
4,118,9
4,119,403
4,120,3
4,125,1
4,126,8
4,127,8
5,2,153
5,3,1
5,4,20
5,5,26
5,6,175
5,7,32
5,8,20
5,9,174
5,11,30
5,13,12
5,14,20
5,15,2
5,16,11
5,17,28
5,18,2
5,20,14
5,23,261
5,24,18
5,25,8
5,27,278
5,28,133
5,30,214
5,33,5
5,36,10
5,37,1
5,38,10
5,39,18
5,40,140
5,41,8
5,44,123
5,45,277
5,46,1
5,48,3
5,49,104
5,50,1
5,51,12
5,52,2
5,53,2
5,55,30
5,56,74
5,57,6
5,58,125
5,59,7
5,61,4
5,62,35
5,64,59
5,66,2
5,67,97
5,70,11
5,71,52
5,72,2
5,73,74
5,75,410
5,78,249
5,79,61
5,80,2
5,83,1
5,84,10
5,88,285
5,89,3
5,90,9
5,92,16
5,94,2
5,95,19
5,98,16
5,99,31
5,100,95
5,101,15
5,104,114
5,105,6
5,106,16
5,107,1
5,108,26
5,109,9
5,110,283
5,111,68
5,112,26
5,113,15
5,114,4
5,115,16
5,116,8
5,117,33
5,118,4
5,120,86
5,122,2
5,123,3
5,126,154
5,127,23
6,0,249
6,1,29
6,2,49
6,5,83
6,6,87
6,7,20
6,8,2
6,9,260
6,10,12
6,11,8
6,13,4
6,14,5
6,15,2
6,17,14
6,18,9
6,19,342
6,20,71
6,21,62
6,22,1
6,23,5
6,24,8
6,28,11
6,29,10
6,31,17
6,33,48
6,34,27
6,35,19
6,36,8
6,37,334
6,39,12
6,40,198
6,42,278
6,43,2
6,45,4
6,46,460
6,49,4
6,50,22
6,51,1
6,52,40
6,53,88
6,56,4
6,58,42
6,59,18
6,62,113
6,64,10
6,65,5
6,68,67
6,69,85
6,70,8
6,72,7
6,73,189
6,74,8
6,75,105
6,77,9
6,79,6
6,80,4
6,81,4
6,82,2
6,84,2
6,85,21
6,86,92
6,87,2
6,88,6
6,89,21
6,90,9
6,91,88
6,93,29
6,94,12
6,95,30
6,96,12
6,97,16
6,98,138
6,99,6
6,102,4
6,103,2
6,104,16
6,106,33
6,107,2
6,108,9
6,110,34
6,111,14
6,112,115
6,113,205
6,114,1
6,115,2
6,116,12
6,117,17
6,118,1
6,119,425
6,120,3
6,121,40
6,122,9
6,126,29
7,1,58
7,4,25
7,5,2
7,6,215
7,7,74
7,9,57
7,10,71
7,12,1
7,13,8
7,14,43
7,15,3
7,16,23
7,18,73
7,19,18
7,20,42
7,21,37
7,23,2
7,25,2
7,26,2
7,28,99
7,29,2
7,31,42
7,32,39
7,33,207
7,34,89
7,35,61
7,36,5
7,37,194
7,38,4
7,39,93
7,40,17
7,41,33
7,42,39
7,43,210
7,44,22
7,45,2
7,47,2
7,48,12
7,49,9
7,50,8
7,52,18
7,53,76
7,54,23
7,55,4
7,56,357
7,57,12
7,58,2
7,59,10
7,60,14
7,61,4
7,62,201
7,63,4
7,64,18
7,65,44
7,66,6
7,67,1
7,69,132
7,70,59
7,74,121
7,76,4
7,77,3
7,78,32
7,80,16
7,81,262
7,82,49
7,85,152
7,86,25
7,87,180
7,88,11
7,89,34
7,91,5
7,92,2
7,93,4
7,94,8
7,95,173
7,96,72
7,98,189
7,101,36
7,102,6
7,103,2
7,104,4
7,105,36
7,107,6
7,108,11
7,111,14
7,112,12
7,113,7
7,114,1
7,116,54
7,118,27
7,122,157
7,123,21
7,124,23
7,125,2
7,126,3
7,127,354
8,0,2
8,1,71
8,2,4
8,3,6
8,4,7
8,5,2
8,6,65
8,8,9
8,10,63
8,11,3
8,12,31
8,13,24
8,14,120
