layer,expert,count
0,0,8700
0,1,28716
0,2,1494
0,3,16815
0,4,3870
0,5,5227
0,6,8462
0,7,9230
0,8,2826
0,9,802
0,10,1801
0,11,3555
0,12,1367
0,13,11003
0,14,2208
0,15,1346
0,16,6121
0,17,6338
0,18,3233
0,19,1276
0,20,9908
0,21,5523
0,22,20773
0,23,37356
0,24,4381
0,25,3742
0,26,21072
0,27,1666
0,28,2643
0,29,427
0,30,181
0,31,21378
0,32,23240
0,33,26500
0,34,10924
0,35,2119
0,36,519
0,37,1243
0,38,10866
0,39,30783
0,40,0
0,41,4027
0,42,0
0,43,281
0,44,22760
0,45,9852
0,46,20885
0,47,26843
0,48,9509
0,49,10381
0,50,15628
0,51,6295
0,52,2960
0,53,31755
0,54,18988
0,55,11120
0,56,891
0,57,60
0,58,3420
0,59,229
0,60,7350
0,61,797
0,62,52
0,63,1024
0,64,9097
0,65,345
0,66,270
0,67,870
0,68,17654
0,69,9706
0,70,6858
0,71,879
0,72,2054
0,73,5007
0,74,7669
0,75,1725
0,76,6235
0,77,10279
0,78,4797
0,79,1931
0,80,1908
0,81,405
0,82,0
0,83,887
0,84,20076
0,85,491
0,86,14489
0,87,3776
0,88,552
0,89,11352
0,90,10415
0,91,4990
0,92,4742
0,93,0
0,94,2430
0,95,270
0,96,1683
0,97,0
0,98,691
0,99,12329
0,100,10957
0,101,235
0,102,54450
0,103,390
0,104,8065
0,105,2684
0,106,2337
0,107,10696
0,108,14542
0,109,2801
0,110,835
0,111,4361
0,112,5310
0,113,3456
0,114,2550
0,115,1953
0,116,13707
0,117,1660
0,118,1622
0,119,109
0,120,20223
0,121,11330
0,122,1802
0,123,26515
0,124,34480
0,125,3925
0,126,14352
0,127,3050
1,0,37072
1,1,1886
1,2,15888
1,3,450
1,4,4969
1,5,2119
1,6,20978
1,7,4454
1,8,20501
1,9,16594
1,10,4349
1,11,25736
1,12,5128
1,13,28435
1,14,513
1,15,4925
1,16,2947
1,17,0
1,18,8573
1,19,0
1,20,23966
1,21,20230
1,22,6745
1,23,3110
1,24,3675
1,25,8939
1,26,7208
1,27,19373
1,28,2047
1,29,6713
1,30,7732
1,31,10037
1,32,2144
1,33,5049
1,34,7539
1,35,9428
1,36,7982
1,37,2133
1,38,5242
1,39,5634
1,40,2810
1,41,15169
1,42,2839
1,43,0
1,44,443
1,45,1496
1,46,13926
1,47,4963
1,48,1142
1,49,2023
1,50,5729
1,51,12674
1,52,3727
1,53,9345
1,54,3411
1,55,2793
1,56,8735
1,57,1607
1,58,0
1,59,5480
1,60,3843
1,61,5502
1,62,9627
1,63,378
1,64,17904
1,65,8087
1,66,2648
1,67,5896
1,68,25181
1,69,12305
1,70,8345
1,71,6526
1,72,16701
1,73,11814
1,74,16980
1,75,0
1,76,4588
1,77,3562
1,78,1985
1,79,16442
1,80,9655
1,81,10371
